""	"protein"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"significant"	"mean_mouse"	"mean_naked mole rat"	"ngood_mouse"	"ngood_naked mole rat"
"1"	""	-0.621877551505917	31.4362476474547	-0.826813406172819	0.437487265133399	0.564319626568216	-6.59958771536982	FALSE	31.7471864232076	31.1253088717017	3	3
"2"	"A0A087WSK7;Q921I0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"3"	"A0A087WSK7;Q921I0;Q9CQZ0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"4"	"A0A0A6YVU8;Q9JKV1"	-0.367328034193733	28.0529134098742	-1.55328879546836	0.16732075246806	0.287146984200022	-5.79917398788576	FALSE	28.236577426971	27.8692493927773	3	3
"5"	"A0A0A6YY83"	-0.751752280189476	25.0363669450192	-2.03849103084178	0.0915932062884229	0.187632265662476	-5.05689920541453	FALSE	25.337067857095	24.5853155769055	3	2
"6"	"A0A0G2JG52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"7"	"A0A0J9YUD5"	-1.93001517217748	26.5915396906123	-8.13921016624039	0.000118330018427621	0.00307781636184294	1.79327365517694	TRUE	27.5565472767011	25.6265321045236	3	3
"8"	"A0A0U1RNF2"	0.18000903230614	26.3457792332419	0.533285652994677	0.611481899719658	0.722509328100395	-6.81194774067386	FALSE	26.2557747170888	26.4357837493949	3	3
"9"	"A0A140T8K5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"10"	"A0A140T8K5;O09167"	-1.00769443879152	28.4536118000254	-2.59299171457362	0.0380149451304097	0.101380961031835	-4.33896659545076	FALSE	28.9574590194212	27.9497645806296	3	3
"11"	"A0A140T8K6"	-2.40794189618501	29.5437043879335	-9.33945281154944	5.13007593551813e-05	0.00229901444244302	2.6526081958013	TRUE	30.7476753360261	28.339733439841	3	3
"12"	"A0A140T8K6;P47964"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"13"	"A0A140T8K6;P47964;D3YX71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"14"	"A0A140T8M7;P62751"	1.71675673253531	28.6265455235036	1.36427212623897	0.217601937842111	0.345729394663617	-6.03609769806661	FALSE	27.768167157236	29.4849238897713	3	3
"15"	"A0A140T8M7;P62751;D3YTY6"	-1.48079536341991	29.1679352501141	-4.02397713691063	0.00580543054243701	0.0282917113990737	-2.35507734263898	TRUE	29.9083329318241	28.4275375684042	3	3
"16"	"A0A140T8T4;P51410"	-0.54959593509381	30.1336899702302	-1.24442975480657	0.256117704637116	0.38391160760605	-6.17750478471519	FALSE	30.4084879377771	29.8588920026833	3	3
"17"	"A0A140T8T4;P51410;S4R1R7"	-1.05088693910256	30.0314114269316	-3.06799438338244	0.0197436583739518	0.0649210914913529	-3.65652312011584	FALSE	30.5568548964829	29.5059679573803	3	3
"18"	"A0A140T8V3;Q60931"	-2.02033332376949	29.2368241395914	-5.49459253786938	0.00114862451326021	0.0107147441183308	-0.614748794599261	TRUE	30.2469908014761	28.2266574777066	3	3
"19"	"A0A140T8V5;P17918"	-2.00968027910105	28.2039651712257	-4.09939681366372	0.00530199724967689	0.026924979023768	-2.25785079902593	TRUE	29.2088053107762	27.1991250316751	3	3
"20"	"A0A1B0GRV7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"21"	"A0A1B0GS18;Q8VCG3"	1.05071677290396	25.2603975964637	1.18675078102206	0.276672189173578	0.405356928324079	-6.24273686729185	FALSE	24.7350392100117	25.7857559829157	3	3
"22"	"A0A1B0GT05;O35153"	NA	27.4382791276371	NA	NA	NA	NA	NA	27.4382791276371	NA	3	0
"23"	"A0A1B0GT68;Q99J93"	NA	26.3304348398387	NA	NA	NA	NA	NA	26.3304348398387	NA	3	0
"24"	"A0A1B0GT68;Q99J93;Q9CQW9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"25"	"A0A1D5RLM8"	-2.42365804475622	27.5782332427284	-3.61836680789952	0.00959716147045006	0.0403080781758903	-2.89236452667955	TRUE	28.7900622651065	26.3664042203503	3	3
"26"	"A0A1L1SQU7"	NA	23.1307728915708	NA	NA	NA	NA	NA	23.1307728915708	NA	2	0
"27"	"A0A1L1SUI3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"28"	"A0A1W2P7Z8;A0A1W2P7H4;A0A1W2P855;A0A1W2P6Q8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"29"	"A0A1W2P7Z8;A0A1W2P7H4;A0A1W2P855;A0A1W2P6Q8;Q6A068"	0.199092494226062	26.2420146070987	0.352956504716327	0.735230259051497	0.818869058697632	-6.90049682746235	FALSE	26.1424683599857	26.3415608542118	3	3
"30"	"A0A1W2P7Z8;A0A1W2P7H4;A0A1W2P855;A0A1W2P6Q8;Q6A068;A0A1W2P7S8"	-0.107289612256586	26.6952516993488	-0.3704288424019	0.722776438584972	0.810330215761888	-6.89341611892598	FALSE	26.7488965054771	26.6416068932205	3	3
"31"	"A0A1W2P7Z8;A0A1W2P7H4;Q6A068"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"32"	"A1A5B6"	-1.77751705546587	24.0234400367626	-3.42865885553846	0.0322630552103586	0.0908447018569273	-3.39072132557405	FALSE	25.2084514070732	23.4309343516073	1	2
"33"	"A1L3P4"	-1.04776600072849	25.1426637327614	-2.95261191533465	0.0281091295117525	0.0827197439437379	-3.8249199878682	FALSE	25.7713233331985	24.72355733247	2	3
"34"	"A2A432"	-0.862252408711078	26.0596345680323	-2.87352820927183	0.0257335119916423	0.0780625098588062	-3.93418244780155	FALSE	26.4907607723878	25.6285083636768	3	3
"35"	"A2A432;Q3TCH7"	-1.06985394862936	27.0845455162056	-2.85246134758574	0.0264904537445131	0.0795331449931089	-3.96443696505341	FALSE	27.6194724905203	26.549618541891	3	3
"36"	"A2A484"	-1.53169052211443	24.5420538756947	-5.26826280924594	0.0014456052381647	0.0120143685013172	-0.861622232715306	TRUE	25.3078991367519	23.7762086146375	3	3
"37"	"A2A4P0"	-0.000826564406169211	23.5631012740983	-0.0025719821064685	0.998057111225432	0.998976344116269	-6.7704398244428	FALSE	23.5635145563014	23.5626879918952	2	2
"38"	"A2A4P4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"39"	"A2A4P4;Q3THG9"	NA	25.9155608353417	NA	NA	NA	NA	NA	25.9155608353417	NA	3	0
"40"	"A2A5R2"	-0.237913156239363	25.3313321852261	-0.654608005245819	0.538951311132038	0.656620333377514	-6.61959936520437	FALSE	25.4740800789697	25.2361669227303	2	3
